 0.00     1.21920 0.00015   1.21926 0.00016   1.21862 0.00015   1.21863 0.00015   1.21867 0.00016   1.21811 0.00015   1.21784 0.00015   1.21759 0.00016   1.21735 0.00015   1.21712 0.00016   1.21702 0.00015   1.21627 0.00015   1.21614 0.00015   1.21604 0.00016   1.21571 0.00015   1.21542 0.00013   1.21527 0.00015   1.21519 0.00015   1.21448 0.00015   1.21456 0.00016   1.21394 0.00015   1.21367 0.00015   1.21351 0.00015   1.21308 0.00015   1.21286 0.00015   1.21267 0.00015   1.21247 0.00015   1.21192 0.00015   1.21190 0.00016   1.21167 0.00015   1.21116 0.00016   1.21086 0.00015   1.21058 0.00016   1.21023 0.00015   1.21015 0.00016   1.21007 0.00015   1.20961 0.00015   1.20919 0.00015   1.20922 0.00015   1.20909 0.00016   1.20875 0.00016   1.20869 0.00016   1.20849 0.00016   1.20843 0.00015   1.20802 0.00014   1.20788 0.00014   1.20785 0.00014   1.20774 0.00014   1.20771 0.00014   1.20687 0.00014   1.20720 0.00014   1.20690 0.00014   1.20679 0.00014   1.20672 0.00014   1.20659 0.00016   1.20657 0.00016   1.20637 0.00014   1.20601 0.00014   1.20603 0.00014   1.20618 0.00014   1.20584 0.00016   1.20569 0.00014   1.20539 0.00016   1.20498 0.00016   1.20498 0.00016   1.20461 0.00014
 1.00     0.79951 0.00017   0.79809 0.00016   0.79713 0.00016   0.79606 0.00017   0.79467 0.00017   0.79404 0.00016   0.79227 0.00017   0.79139 0.00016   0.79083 0.00016   0.78907 0.00017   0.78828 0.00017   0.78729 0.00017   0.78586 0.00017   0.78491 0.00016   0.78370 0.00016   0.78303 0.00017   0.78153 0.00016   0.78115 0.00016   0.77989 0.00016   0.77909 0.00016   0.77814 0.00016   0.77686 0.00016   0.77619 0.00016   0.77473 0.00016   0.77417 0.00017   0.77320 0.00016   0.77215 0.00017   0.77127 0.00017   0.77040 0.00017   0.76948 0.00016   0.76604 0.00017   0.76499 0.00016   0.76460 0.00018   0.76360 0.00017   0.76272 0.00017   0.76190 0.00016   0.76105 0.00017   0.76052 0.00017   0.75970 0.00015   0.75868 0.00017   0.75753 0.00017   0.75724 0.00017   0.75597 0.00017   0.75569 0.00017   0.75487 0.00016   0.75420 0.00017   0.75325 0.00017   0.75230 0.00017   0.75170 0.00016   0.75129 0.00017   0.75067 0.00017   0.75025 0.00017   0.75006 0.00017   0.75011 0.00017   0.75013 0.00017   0.74930 0.00016   0.74855 0.00016   0.74784 0.00016   0.74683 0.00016   0.74603 0.00016   0.74482 0.00018   0.74413 0.00016   0.74342 0.00017   0.74263 0.00017   0.74232 0.00016   0.74135 0.00017
 2.00     0.69732 0.00016   0.69609 0.00017   0.69507 0.00017   0.69433 0.00018   0.69309 0.00016   0.69211 0.00017   0.69102 0.00017   0.68962 0.00017   0.68867 0.00017   0.68762 0.00017   0.68655 0.00018   0.68571 0.00019   0.68457 0.00018   0.68348 0.00017   0.68257 0.00016   0.68139 0.00017   0.68062 0.00018   0.67961 0.00016   0.67830 0.00017   0.67738 0.00016   0.67670 0.00018   0.67583 0.00017   0.67485 0.00018   0.67358 0.00017   0.67272 0.00017   0.67207 0.00017   0.67129 0.00016   0.67008 0.00018   0.66925 0.00017   0.66824 0.00017   0.66490 0.00017   0.66422 0.00017   0.66358 0.00019   0.66298 0.00017   0.66214 0.00017   0.66098 0.00018   0.66017 0.00017   0.65973 0.00018   0.65886 0.00018   0.65768 0.00016   0.65733 0.00018   0.65645 0.00017   0.65548 0.00017   0.65463 0.00017   0.65357 0.00018   0.65295 0.00017   0.65233 0.00017   0.65166 0.00018   0.65119 0.00017   0.65067 0.00017   0.64965 0.00017   0.64942 0.00018   0.64885 0.00018   0.64877 0.00018   0.64892 0.00017   0.64889 0.00016   0.64827 0.00017   0.64684 0.00018   0.64589 0.00017   0.64505 0.00017   0.64412 0.00017   0.64337 0.00018   0.64257 0.00017   0.64189 0.00017   0.64105 0.00017   0.64081 0.00018
10.00     0.78927 0.00027   0.78836 0.00032   0.78809 0.00025   0.78753 0.00025   0.78656 0.00033   0.78623 0.00025   0.78744 0.00091   0.78557 0.00031   0.78504 0.00024   0.78443 0.00026   0.78449 0.00047   0.78343 0.00027   0.78288 0.00058   0.78190 0.00026   0.78181 0.00027   0.78197 0.00038   0.78067 0.00026   0.78037 0.00025   0.77959 0.00026   0.77956 0.00023   0.77898 0.00052   0.77943 0.00062   0.77824 0.00026   0.77822 0.00026   0.77703 0.00026   0.77729 0.00026   0.77675 0.00025   0.77607 0.00026   0.77565 0.00026   0.77564 0.00041   0.77361 0.00034   0.77250 0.00056   0.77311 0.00027   0.77217 0.00027   0.77226 0.00025   0.77153 0.00031   0.77120 0.00045   0.77057 0.00025   0.77044 0.00027   0.77034 0.00025   0.76974 0.00025   0.76914 0.00027   0.76871 0.00028   0.76769 0.00025   0.76826 0.00031   0.76704 0.00025   0.76776 0.00025   0.76784 0.00081   0.76630 0.00026   0.76726 0.00069   0.76594 0.00033   0.76648 0.00049   0.76597 0.00093   0.76581 0.00026   0.76591 0.00025   0.76521 0.00029   0.76469 0.00025   0.76463 0.00026   0.76450 0.00026   0.76376 0.00027   0.76337 0.00036   0.76167 0.00087   0.76275 0.00026   0.76283 0.00027   0.76319 0.00044   0.76184 0.00029
