# keff and ITC [pcm/K] as a function of fuel salt graphite instrusion %
# FSGI[%]   keff  sigma(k)    ITC    sigma(ITC)    eta     sig(eta)    f     sig(f)       p     sig(p)    epsilon  sig(eps)
    0.0  1.219200 0.000146   -2.296721 0.009636  1.311750 0.000240  0.897758 0.000083  0.777769 0.000150  1.331000 0.000220
    1.0  0.799507 0.000168   -8.966084 0.010692  1.243360 0.000320  1.000000 0.000000  0.425547 0.000250  1.510880 0.000310
    2.0  0.697320 0.000160   -8.796724 0.011085  1.261010 0.000350  1.000000 0.000000  0.320521 0.000330  1.727040 0.000420
   10.0  0.789269 0.000268   -4.243961 0.019155  1.265270 0.000900  1.000000 0.000000  0.079460 0.000910  7.858260 0.001260
