 0.00     1.08748 0.00017   1.08657 0.00018   1.08618 0.00017   1.08639 0.00017   1.08533 0.00018   1.08497 0.00018   1.08500 0.00017   1.08474 0.00017   1.08399 0.00017   1.08360 0.00018   1.08305 0.00017   1.08249 0.00017   1.08230 0.00017   1.08214 0.00017   1.08143 0.00017   1.08128 0.00018   1.08100 0.00018   1.08047 0.00018   1.08013 0.00017   1.07963 0.00017   1.07987 0.00018   1.07937 0.00018   1.07919 0.00018   1.07862 0.00016   1.07827 0.00017   1.07779 0.00018   1.07780 0.00017   1.07776 0.00018   1.07725 0.00020   1.07692 0.00018   1.07650 0.00018   1.07641 0.00017   1.07616 0.00016   1.07582 0.00017   1.07559 0.00017   1.07522 0.00019   1.07530 0.00017   1.07456 0.00016   1.07433 0.00017   1.07449 0.00017   1.07393 0.00019   1.07373 0.00018   1.07353 0.00017   1.07347 0.00016   1.07306 0.00016   1.07325 0.00018   1.07291 0.00018   1.07272 0.00019   1.07223 0.00018   1.07210 0.00015   1.07211 0.00017   1.07185 0.00018   1.07138 0.00020   1.07098 0.00017   1.07126 0.00018   1.07094 0.00017   1.07092 0.00016   1.07051 0.00017   1.07065 0.00019   1.07001 0.00017   1.07009 0.00016   1.06997 0.00018   1.06966 0.00016   1.06942 0.00017   1.06919 0.00017   1.06896 0.00016
 1.00     0.70469 0.00017   0.70260 0.00016   0.70062 0.00017   0.69914 0.00016   0.69701 0.00020   0.69556 0.00015   0.69351 0.00016   0.69164 0.00017   0.69010 0.00017   0.68833 0.00016   0.68659 0.00017   0.68456 0.00016   0.68301 0.00017   0.68139 0.00015   0.68036 0.00017   0.67861 0.00016   0.67725 0.00018   0.67522 0.00018   0.67409 0.00016   0.67257 0.00015   0.67130 0.00017   0.66939 0.00019   0.66804 0.00017   0.66683 0.00016   0.66569 0.00019   0.66434 0.00015   0.66281 0.00018   0.66108 0.00017   0.65975 0.00016   0.65863 0.00015   0.65776 0.00015   0.65594 0.00015   0.65467 0.00015   0.65348 0.00017   0.65258 0.00015   0.65146 0.00018   0.65023 0.00016   0.64886 0.00016   0.64780 0.00015   0.64690 0.00014   0.64563 0.00015   0.64485 0.00015   0.64387 0.00015   0.64253 0.00016   0.64154 0.00018   0.64042 0.00015   0.63936 0.00016   0.63829 0.00016   0.63711 0.00016   0.63638 0.00015   0.63535 0.00015   0.63428 0.00015   0.63327 0.00017   0.63233 0.00017   0.63127 0.00015   0.63053 0.00015   0.62956 0.00016   0.62848 0.00016   0.62769 0.00016   0.62702 0.00014   0.62594 0.00015   0.62473 0.00016   0.62381 0.00014   0.62281 0.00015   0.62234 0.00015   0.62123 0.00016
 2.00     0.58717 0.00015   0.58541 0.00015   0.58356 0.00014   0.58196 0.00015   0.58020 0.00015   0.57824 0.00016   0.57660 0.00016   0.57510 0.00015   0.57325 0.00014   0.57162 0.00014   0.56995 0.00015   0.56806 0.00015   0.56673 0.00015   0.56513 0.00016   0.56377 0.00015   0.56236 0.00016   0.56075 0.00014   0.55935 0.00016   0.55805 0.00020   0.55632 0.00013   0.55519 0.00016   0.55371 0.00014   0.55226 0.00014   0.55103 0.00015   0.54980 0.00016   0.54851 0.00017   0.54690 0.00014   0.54534 0.00015   0.54426 0.00014   0.54288 0.00014   0.54177 0.00014   0.54055 0.00015   0.53918 0.00015   0.53772 0.00015   0.53669 0.00015   0.53589 0.00014   0.53449 0.00014   0.53300 0.00018   0.53236 0.00013   0.53122 0.00014   0.52990 0.00016   0.52921 0.00016   0.52804 0.00015   0.52665 0.00018   0.52590 0.00015   0.52498 0.00016   0.52367 0.00015   0.52256 0.00015   0.52140 0.00015   0.52062 0.00014   0.51962 0.00014   0.51838 0.00016   0.51787 0.00014   0.51654 0.00015   0.51558 0.00014   0.51463 0.00014   0.51396 0.00015   0.51299 0.00014   0.51198 0.00015   0.51105 0.00013   0.50979 0.00015   0.50886 0.00013   0.50807 0.00013   0.50728 0.00016   0.50634 0.00014   0.50548 0.00013
10.00     0.34423 0.00010   0.34341 0.00009   0.34237 0.00009   0.34151 0.00009   0.34061 0.00010   0.34004 0.00009   0.33940 0.00011   0.33821 0.00010   0.33759 0.00009   0.33676 0.00010   0.33593 0.00009   0.33533 0.00008   0.33457 0.00009   0.33378 0.00009   0.33297 0.00010   0.33233 0.00010   0.33169 0.00009   0.33099 0.00008   0.33033 0.00010   0.32968 0.00009   0.32883 0.00009   0.32833 0.00009   0.32762 0.00009   0.32693 0.00009   0.32637 0.00010   0.32586 0.00008   0.32517 0.00010   0.32444 0.00009   0.32370 0.00009   0.32319 0.00009   0.32243 0.00008   0.32178 0.00009   0.32123 0.00008   0.32076 0.00009   0.32013 0.00009   0.31949 0.00009   0.31898 0.00009   0.31856 0.00010   0.31786 0.00009   0.31746 0.00008   0.31694 0.00009   0.31643 0.00009   0.31593 0.00008   0.31541 0.00008   0.31493 0.00009   0.31445 0.00008   0.31376 0.00008   0.31345 0.00008   0.31283 0.00008   0.31247 0.00008   0.31183 0.00008   0.31138 0.00011   0.31085 0.00009   0.31046 0.00007   0.30991 0.00008   0.30950 0.00009   0.30899 0.00008   0.30855 0.00010   0.30810 0.00008   0.30759 0.00011   0.30716 0.00008   0.30665 0.00009   0.30622 0.00008   0.30577 0.00008   0.30543 0.00008   0.30506 0.00008
