#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 510.0 1.07937400 0.00017800  1.07814000 0.00006792  1.21367000 0.00014564  1.07944600 0.00016200  1.08022000 0.00006913  1.29228000 0.00008271  0.67485900 0.00003644  0.67693300 0.00009700      NaN         NaN    1.07862000 0.00012000  
 520.0 1.07918800 0.00018000  1.07778000 0.00006898  1.21351000 0.00014562  1.07934400 0.00019300  1.07986000 0.00007019  1.29308000 0.00007629  0.67482400 0.00003577  0.67664700 0.00010200      NaN         NaN    1.07836000 0.00012000  
 530.0 1.07861900 0.00015800  1.07762000 0.00006789  1.21308000 0.00014557  1.07866600 0.00017700  1.07957000 0.00006801  1.29425000 0.00008154  0.67478100 0.00003644  0.67676200 0.00011300      NaN         NaN    1.07813000 0.00012000  
 540.0 1.07827200 0.00016700  1.07717000 0.00006786  1.21286000 0.00014554  1.07849100 0.00016700  1.07913000 0.00006475  1.29519000 0.00007901  0.67468200 0.00003778  0.67633400 0.00013300      NaN         NaN    1.07765000 0.00012000  
 550.0 1.07779300 0.00017700  1.07691000 0.00006677  1.21267000 0.00014552  1.07770100 0.00018900  1.07888000 0.00007013  1.29625000 0.00008426  0.67470400 0.00003643  0.67666400 0.00010400      NaN         NaN    1.07758000 0.00012000  
 560.0 1.07780200 0.00017200  1.07661000 0.00006783  1.21247000 0.00014550  1.07755100 0.00017200  1.07857000 0.00006687  1.29714000 0.00008431  0.67464400 0.00003778  0.67652000 0.00011100      NaN         NaN    1.07713000 0.00013000  
 570.0 1.07776400 0.00017800  1.07626000 0.00006996  1.21192000 0.00014543  1.07718800 0.00020400  1.07819000 0.00007116  1.29813000 0.00008568  0.67465400 0.00003508  0.67662000 0.00009700      NaN         NaN    1.07693000 0.00012000  
 580.0 1.07725000 0.00019600  1.07605000 0.00006779  1.21190000 0.00015755  1.07729600 0.00019200  1.07795000 0.00006899  1.29922000 0.00007795  0.67464200 0.00003643  0.67635100 0.00011300      NaN         NaN    1.07685000 0.00012000  
 590.0 1.07692100 0.00018500  1.07570000 0.00006992  1.21167000 0.00014540  1.07717400 0.00016900  1.07744000 0.00007003  1.30002000 0.00008320  0.67465700 0.00003643  0.67635700 0.00010000      NaN         NaN    1.07646000 0.00016000  
 600.0 1.07650400 0.00018100  1.07530000 0.00007097  1.21116000 0.00015745  1.07637200 0.00016900  1.07722000 0.00006786  1.30108000 0.00008067  0.67468700 0.00003778  0.67640400 0.00010700      NaN         NaN    1.07600000 0.00013000  
