#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 500.0 0.67129800 0.00016600  0.67115700 0.00011410  0.77814000 0.00016341  0.67117300 0.00015100  0.67232200 0.00011429  0.80084300 0.00013614  0.14964400 0.00002694  0.15549400 0.00002900      NaN         NaN    0.67097000 0.00013000  
 510.0 0.66939500 0.00018800  0.66940200 0.00011380  0.77686000 0.00016314  0.66992800 0.00016400  0.67073100 0.00010732  0.79989800 0.00013598  0.14948100 0.00002541  0.15519400 0.00002800      NaN         NaN    0.66961000 0.00011000  
 520.0 0.66804400 0.00016800  0.66788400 0.00011354  0.77618700 0.00015524  0.66847900 0.00017300  0.66942600 0.00011380  0.79881700 0.00013580  0.14938300 0.00002390  0.15505300 0.00002900      NaN         NaN    0.66799000 0.00013000  
 530.0 0.66682800 0.00015900  0.66669400 0.00011334  0.77473200 0.00016269  0.66730300 0.00020000  0.66808300 0.00011357  0.79784600 0.00014361  0.14928100 0.00002538  0.15491700 0.00002800      NaN         NaN    0.66694000 0.00012000  
 540.0 0.66569400 0.00018600  0.66536400 0.00010646  0.77417000 0.00017032  0.66558400 0.00015500  0.66669800 0.00011334  0.79684500 0.00013546  0.14911400 0.00002386  0.15462000 0.00002800      NaN         NaN    0.66518000 0.00015000  
 550.0 0.66434500 0.00014800  0.66397800 0.00010624  0.77320100 0.00016237  0.66430400 0.00015700  0.66517100 0.00011308  0.79582500 0.00014325  0.14900000 0.00002533  0.15443300 0.00002700      NaN         NaN    0.66409000 0.00012000  
 560.0 0.66280800 0.00017700  0.66269200 0.00011266  0.77214800 0.00016987  0.66300200 0.00014900  0.66386600 0.00011286  0.79483400 0.00013512  0.14887300 0.00002531  0.15427300 0.00002900      NaN         NaN    0.66275000 0.00014000  
 570.0 0.66108000 0.00016600  0.66146100 0.00011906  0.77127400 0.00016968  0.66123800 0.00015900  0.66242500 0.00011924  0.79372700 0.00013493  0.14876100 0.00002529  0.15406300 0.00002700      NaN         NaN    0.66103000 0.00012000  
 580.0 0.65975000 0.00015800  0.66004300 0.00011221  0.77040400 0.00016949  0.65996600 0.00016600  0.66127900 0.00011242  0.79289800 0.00013479  0.14862100 0.00002527  0.15389400 0.00003300      NaN         NaN    0.66008000 0.00013000  
 590.0 0.65862800 0.00015200  0.65848100 0.00011853  0.76947800 0.00016159  0.65867600 0.00017200  0.65972200 0.00011215  0.79189100 0.00012670  0.14851700 0.00002525  0.15371200 0.00002800      NaN         NaN    0.65838000 0.00013000  
 600.0 0.65775900 0.00014900  0.65715000 0.00011829  0.76603600 0.00016853  0.65748900 0.00014900  0.65799800 0.00011844  0.79040000 0.00014227  0.14841700 0.00002523  0.15355400 0.00003000      NaN         NaN    0.65731000 0.00012000  
 610.0 0.65593800 0.00015400  0.65558300 0.00011800  0.76499300 0.00016065  0.65596200 0.00016800  0.65658100 0.00011818  0.78949300 0.00014211  0.14833000 0.00002373  0.15333800 0.00002800      NaN         NaN    0.65569000 0.00014000  
 620.0 0.65466800 0.00015000  0.65487200 0.00011788  0.76459900 0.00017586  0.65492700 0.00015400  0.65628000 0.00011157  0.78927800 0.00014207  0.14819400 0.00002371  0.15323200 0.00002700      NaN         NaN    0.65473000 0.00016000  
 630.0 0.65348100 0.00017400  0.65355200 0.00011764  0.76360500 0.00016799  0.65353800 0.00018100  0.65473200 0.00011785  0.78824700 0.00014188  0.14812200 0.00002222  0.15304000 0.00003000      NaN         NaN    0.65384000 0.00012000  
 640.0 0.65257700 0.00015200  0.65231500 0.00011089  0.76272100 0.00016780  0.65235600 0.00017800  0.65331700 0.00011106  0.78715600 0.00014169  0.14795800 0.00002515  0.15296900 0.00002700      NaN         NaN    0.65242000 0.00013000  
 650.0 0.65146100 0.00017900  0.65103600 0.00011068  0.76190300 0.00016000  0.65141300 0.00014900  0.65226000 0.00011741  0.78654600 0.00014158  0.14787000 0.00002366  0.15274400 0.00003000      NaN         NaN    0.65161000 0.00011000  
 660.0 0.65023000 0.00015700  0.64998700 0.00011050  0.76104700 0.00016743  0.65016600 0.00014900  0.65072400 0.00011713  0.78531100 0.00014136  0.14774900 0.00002512  0.15260700 0.00002700      NaN         NaN    0.65041000 0.00012000  
 670.0 0.64886100 0.00016000  0.64880500 0.00011030  0.76052000 0.00017492  0.64902500 0.00016700  0.64953400 0.00011042  0.78462500 0.00014123  0.14766000 0.00002510  0.15242500 0.00002600      NaN         NaN    0.64915000 0.00013000  
 680.0 0.64779900 0.00015500  0.64747000 0.00011007  0.75970100 0.00015194  0.64797300 0.00016200  0.64829400 0.00011021  0.78368300 0.00014890  0.14753200 0.00002361  0.15234900 0.00002800      NaN         NaN    0.64786000 0.00014000  
 690.0 0.64689700 0.00014300  0.64664700 0.00010993  0.75868200 0.00016691  0.64674400 0.00015200  0.64703900 0.00011647  0.78273400 0.00014089  0.14743500 0.00002506  0.15217000 0.00002700      NaN         NaN    0.64683000 0.00012000  
 700.0 0.64563200 0.00014800  0.64511400 0.00010967  0.75752700 0.00016666  0.64565000 0.00015600  0.64597600 0.00011628  0.78177200 0.00014072  0.14736700 0.00002358  0.15205000 0.00002800      NaN         NaN    0.64568000 0.00013000  
 710.0 0.64485400 0.00014500  0.64413300 0.00011594  0.75724200 0.00017417  0.64463200 0.00016300  0.64471300 0.00011605  0.78051400 0.00014049  0.14726000 0.00002503  0.15194700 0.00002700      NaN         NaN    0.64473000 0.00012000  
 720.0 0.64387300 0.00015100  0.64291500 0.00012215  0.75596900 0.00016631  0.64363100 0.00017400  0.64373600 0.00011587  0.77987600 0.00014038  0.14716000 0.00002355  0.15182700 0.00002700      NaN         NaN    0.64357000 0.00013000  
 730.0 0.64253000 0.00016200  0.64168800 0.00010909  0.75569200 0.00016625  0.64278500 0.00015400  0.64234200 0.00011562  0.77884200 0.00014798  0.14708900 0.00002353  0.15163400 0.00002700      NaN         NaN    0.64242000 0.00013000  
 740.0 0.64154200 0.00017800  0.64062200 0.00011531  0.75486500 0.00015852  0.64133000 0.00015000  0.64131800 0.00010902  0.77824900 0.00014787  0.14693600 0.00002351  0.15153800 0.00002500      NaN         NaN    0.64142000 0.00014000  
 750.0 0.64041800 0.00014900  0.63938500 0.00011509  0.75419600 0.00016592  0.64052000 0.00017300  0.64027100 0.00010885  0.77731000 0.00013992  0.14686000 0.00002350  0.15138500 0.00002600      NaN         NaN    0.64043000 0.00013000  
 760.0 0.63936300 0.00015800  0.63878100 0.00010859  0.75325400 0.00016572  0.63952700 0.00015900  0.63931400 0.00010868  0.77652200 0.00013977  0.14679300 0.00002349  0.15126500 0.00002900      NaN         NaN    0.63954000 0.00012000  
 770.0 0.63828700 0.00015900  0.63753400 0.00011476  0.75229700 0.00017303  0.63849400 0.00014800  0.63810500 0.00010848  0.77570700 0.00013963  0.14670100 0.00002347  0.15114300 0.00002600      NaN         NaN    0.63840000 0.00012000  
 780.0 0.63711000 0.00016000  0.63650900 0.00010821  0.75170100 0.00015786  0.63719000 0.00014900  0.63720200 0.00010832  0.77488500 0.00014723  0.14661900 0.00002493  0.15099000 0.00002600      NaN         NaN    0.63728000 0.00013000  
 790.0 0.63638300 0.00015500  0.63552800 0.00011440  0.75129300 0.00016528  0.63626800 0.00014800  0.63634200 0.00011454  0.77410500 0.00013934  0.14652500 0.00002198  0.15093000 0.00002800      NaN         NaN    0.63635000 0.00012000  
 800.0 0.63534500 0.00015400  0.63466200 0.00011424  0.75066600 0.00017265  0.63518800 0.00015800  0.63500700 0.00010795  0.77374100 0.00013927  0.14646200 0.00002197  0.15076000 0.00002600  0.63550800 0.00015400  0.63515000 0.00012000  
 810.0 0.63428300 0.00015100  0.63419700 0.00010781  0.75024900 0.00016505  0.63458900 0.00018100  0.63454300 0.00011422  0.77334600 0.00014694  0.14635200 0.00002488  0.15066100 0.00003200  0.63436500 0.00014400  0.63427000 0.00012000  
 820.0 0.63326600 0.00017000  0.63374000 0.00011407  0.75006400 0.00016501  0.63339400 0.00014800  0.63391100 0.00011410  0.77320600 0.00013918  0.14631000 0.00002487  0.15052800 0.00002500  0.63328500 0.00016800  0.63314000 0.00012000  
 830.0 0.63233300 0.00017000  0.63313300 0.00010763  0.75011300 0.00017253  0.63254200 0.00015900  0.63378600 0.00012042  0.77308400 0.00014689  0.14614900 0.00002338  0.15047000 0.00002700  0.63226500 0.00016200  0.63233000 0.00013000  
 840.0 0.63126900 0.00015200  0.63310500 0.00011396  0.75012700 0.00016503  0.63170500 0.00014700  0.63348800 0.00012036  0.77345800 0.00014696  0.14611100 0.00002484  0.15029100 0.00002500  0.63121800 0.00014600  0.63158000 0.00013000  
 850.0 0.63053200 0.00014700  0.63258000 0.00012019  0.74929600 0.00016485  0.63083800 0.00015600  0.63281700 0.00011391  0.77320800 0.00013918  0.14602600 0.00002336  0.15022400 0.00002900  0.62997700 0.00019000  0.63038000 0.00014000  
 860.0 0.62956100 0.00016000  0.63132100 0.00011364  0.74855500 0.00015720  0.62968000 0.00018300  0.63179400 0.00011372  0.77216600 0.00013899  0.14598500 0.00002336  0.15008000 0.00002800  0.62939100 0.00016400  0.62960000 0.00014000  
 870.0 0.62848000 0.00016100  0.62974700 0.00011335  0.74783900 0.00016452  0.62843900 0.00015800  0.63018400 0.00011973  0.77072100 0.00014644  0.14589400 0.00002480  0.14999500 0.00002800  0.62839200 0.00016200  0.62854000 0.00013000  
 880.0 0.62769000 0.00016100  0.62850100 0.00011942  0.74682900 0.00016430  0.62789400 0.00016400  0.62901300 0.00011322  0.76926100 0.00014616  0.14578300 0.00002333  0.14988600 0.00002700  0.62742900 0.00016600  0.62753000 0.00014000  
 890.0 0.62701800 0.00014000  0.62753900 0.00011296  0.74602700 0.00016413  0.62693200 0.00015900  0.62770600 0.00011299  0.76846900 0.00014601  0.14574600 0.00002332  0.14975600 0.00002600  0.62639200 0.00015300  0.62664000 0.00012000  
 900.0 0.62593900 0.00014900  0.62635800 0.00010648  0.74482100 0.00017876  0.62565700 0.00015100  0.62675100 0.00011908  0.76707600 0.00015342  0.14569100 0.00002477  0.14966900 0.00002600      NaN         NaN    0.62579000 0.00012000  
 910.0 0.62472600 0.00016000  0.62523200 0.00011254  0.74413500 0.00016371      NaN         NaN    0.62569500 0.00011263  0.76629900 0.00014560  0.14560300 0.00002330  0.14951400 0.00003000      NaN         NaN    0.62474000 0.00012000  
 920.0 0.62381400 0.00014200  0.62422600 0.00011236  0.74342100 0.00017099      NaN         NaN    0.62453900 0.00010617  0.76547800 0.00014544  0.14551800 0.00002328  0.14942600 0.00002700      NaN         NaN    0.62376000 0.00014000  
 930.0 0.62281000 0.00015300  0.62335800 0.00010597  0.74263300 0.00017081      NaN         NaN    0.62350800 0.00011223  0.76444800 0.00014525  0.14550300 0.00002328  0.14935400 0.00002800      NaN         NaN    0.62279000 0.00013000  
 940.0 0.62233900 0.00015300  0.62258100 0.00011206  0.74231700 0.00016331      NaN         NaN    0.62291900 0.00011213  0.76386800 0.00014513  0.14539300 0.00002326  0.14925600 0.00002600      NaN         NaN    0.62229000 0.00012000  
 950.0 0.62122800 0.00016400  0.62175400 0.00011813  0.74135000 0.00017051      NaN         NaN    0.62165700 0.00011190  0.76299000 0.00014497  0.14534400 0.00002471  0.14915600 0.00002500      NaN         NaN    0.62116000 0.00013000  
