#       SHIFT                | Serpent              | Serpent, myAMPX      | SHIFT, myAMPX        | Serpent, noSab       | Serpent, noSab, Pu239 for U5 | Serpent, noSab, Th232 for U8 | SHIFT, noSab, Th232 for U8 | SHIFT, detailed AMPX | KENO                 |
#           keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)       keff sigma(keff)  
 300.0 0.70468900 0.00017000  0.70461500 0.00011274  0.79950700 0.00016790  0.70505600 0.00015700  0.70696800 0.00010605  0.82911600 0.00012437  0.15310100 0.00002756  0.16070200 0.00003500      NaN         NaN    0.70471000 0.00013000  
 310.0 0.70259700 0.00016300  0.70248700 0.00011240  0.79809200 0.00015962  0.70264200 0.00019000  0.70498000 0.00011280  0.82707500 0.00013233  0.15290000 0.00002599  0.16038300 0.00003200      NaN         NaN    0.70255000 0.00013000  
 320.0 0.70062100 0.00016700  0.70060700 0.00011210  0.79713000 0.00015943  0.70066800 0.00017400  0.70318200 0.00011251  0.82550200 0.00013208  0.15266800 0.00002443  0.16005400 0.00003000      NaN         NaN    0.70060000 0.00013000  
 330.0 0.69913600 0.00015600  0.69896600 0.00011183  0.79605900 0.00016717  0.69922900 0.00015900  0.70116400 0.00011219  0.82392200 0.00014007  0.15244700 0.00002592  0.15977200 0.00003100      NaN         NaN    0.69883000 0.00012000  
 340.0 0.69700600 0.00019800  0.69739700 0.00011158  0.79467200 0.00016688  0.69736000 0.00016100  0.69954700 0.00011892  0.82253600 0.00013161  0.15225100 0.00002588  0.15940500 0.00003000      NaN         NaN    0.69665000 0.00014000  
 350.0 0.69556300 0.00015500  0.69534200 0.00010430  0.79403700 0.00015881  0.69546300 0.00015700  0.69744000 0.00011159  0.82096700 0.00012315  0.15204100 0.00002585  0.15914300 0.00002800      NaN         NaN    0.69514000 0.00013000  
 360.0 0.69350700 0.00015700  0.69380000 0.00011101  0.79226800 0.00016638  0.69341100 0.00020400  0.69567900 0.00011131  0.81929300 0.00013109  0.15185500 0.00002430  0.15885900 0.00002800      NaN         NaN    0.69354000 0.00013000  
 370.0 0.69164500 0.00017200  0.69188200 0.00011070  0.79139200 0.00015828  0.69198400 0.00015300  0.69410800 0.00010412  0.81781900 0.00013903  0.15167400 0.00002578  0.15858700 0.00003100      NaN         NaN    0.69151000 0.00013000  
 380.0 0.69010100 0.00017400  0.69024000 0.00011044  0.79082900 0.00015817  0.68953000 0.00015800  0.69198900 0.00011072  0.81646900 0.00013064  0.15150000 0.00002575  0.15835400 0.00002800      NaN         NaN    0.68980000 0.00014000  
 390.0 0.68833100 0.00016500  0.68833300 0.00011013  0.78906900 0.00017360  0.68823000 0.00016100  0.69038000 0.00011736  0.81467800 0.00013035  0.15135000 0.00002573  0.15800500 0.00002600      NaN         NaN    0.68793000 0.00012000  
 400.0 0.68659400 0.00017200  0.68653900 0.00010985  0.78828400 0.00016554  0.68680000 0.00017000  0.68869100 0.00011019  0.81338900 0.00013014  0.15120800 0.00002571  0.15777500 0.00003000      NaN         NaN    0.68606000 0.00012000  
 410.0 0.68455700 0.00015800  0.68492700 0.00011644  0.78729000 0.00017320  0.68467500 0.00016900  0.68694200 0.00011678  0.81210700 0.00012994  0.15101000 0.00002567  0.15748900 0.00002900      NaN         NaN    0.68463000 0.00014000  
 420.0 0.68301100 0.00017100  0.68336700 0.00010934  0.78586000 0.00016503  0.68312300 0.00016200  0.68488800 0.00010958  0.81069200 0.00012971  0.15084500 0.00002564  0.15728100 0.00002800      NaN         NaN    0.68335000 0.00013000  
 430.0 0.68139000 0.00015500  0.68177400 0.00011590  0.78491100 0.00016483  0.68166100 0.00015200  0.68341400 0.00011618  0.80912600 0.00013755  0.15067100 0.00002712  0.15698400 0.00002700      NaN         NaN    0.68132000 0.00012000  
 440.0 0.68035700 0.00017500  0.68004400 0.00011561  0.78370500 0.00016458  0.68030600 0.00016500  0.68162000 0.00011588  0.80803200 0.00012929  0.15054000 0.00002559  0.15679500 0.00002900      NaN         NaN    0.67982000 0.00012000  
 450.0 0.67861300 0.00015900  0.67881400 0.00012219  0.78303200 0.00017227  0.67867500 0.00015700  0.68024500 0.00011564  0.80681200 0.00013716  0.15038600 0.00002557  0.15652500 0.00003200      NaN         NaN    0.67851000 0.00013000  
 460.0 0.67725300 0.00018300  0.67699500 0.00012186  0.78153400 0.00016412  0.67706600 0.00017200  0.67851000 0.00011535  0.80555700 0.00013694  0.15020100 0.00002403  0.15632600 0.00003100      NaN         NaN    0.67693000 0.00014000  
 470.0 0.67521600 0.00018200  0.67556300 0.00011485  0.78115300 0.00016404  0.67584100 0.00016000  0.67683800 0.00011506  0.80444000 0.00012871  0.15006500 0.00002401  0.15611900 0.00002800      NaN         NaN    0.67551000 0.00013000  
 480.0 0.67409300 0.00016300  0.67410800 0.00011460  0.77989200 0.00016378  0.67424000 0.00016300  0.67521800 0.00010803  0.80305200 0.00013652  0.14994700 0.00002549  0.15586100 0.00003400      NaN         NaN    0.67386000 0.00012000  
 490.0 0.67256800 0.00015200  0.67257900 0.00011434  0.77908600 0.00016361  0.67280900 0.00016100  0.67379900 0.00011455  0.80216900 0.00013637  0.14980900 0.00002397  0.15570000 0.00003000      NaN         NaN    0.67247000 0.00014000  
