 0.00     1.07209 0.00016   1.07199 0.00020   1.07173 0.00018   1.07122 0.00016   1.07131 0.00018   1.07110 0.00015   1.07102 0.00018   1.07045 0.00017   1.07059 0.00017   1.07011 0.00016
 1.00     0.63551 0.00015   0.63436 0.00014   0.63328 0.00017   0.63226 0.00016   0.63122 0.00015   0.62998 0.00019   0.62939 0.00016   0.62839 0.00016   0.62743 0.00017   0.62639 0.00015
