# keff and ITC [pcm/K] as a function of fuel salt graphite instrusion %
# FSGI[%]   keff  sigma(k)    ITC    sigma(ITC)    eta     sig(eta)    f     sig(f)       p     sig(p)    epsilon  sig(eps)
    0.0  1.085240 0.000075   -2.588332 0.004092  1.313130 0.000230  0.897907 0.000073  0.809943 0.000098  1.137000 0.000110
    1.0  0.704464 0.000106  -12.241074 0.006766  1.244070 0.000280  1.000000 0.000000  0.472114 0.000210  1.199450 0.000180
    2.0  0.587078 0.000112  -12.007212 0.007007  1.261070 0.000320  1.000000 0.000000  0.364470 0.000260  1.278090 0.000210
   10.0  0.343975 0.000089   -5.689308 0.005194  1.265390 0.000590  1.000000 0.000000  0.098122 0.000590  2.772050 0.000720
