 0.00     1.08524 0.00007   1.08510 0.00007   1.08474 0.00007   1.08433 0.00007   1.08397 0.00007   1.08379 0.00007   1.08347 0.00007   1.08309 0.00007   1.08252 0.00007   1.08228 0.00007   1.08199 0.00007   1.08151 0.00007   1.08121 0.00007   1.08079 0.00007   1.08047 0.00007   1.08026 0.00007   1.07981 0.00007   1.07945 0.00007   1.07898 0.00007   1.07878 0.00007   1.07842 0.00007   1.07808 0.00007   1.07780 0.00007   1.07764 0.00007   1.07715 0.00007   1.07692 0.00007   1.07667 0.00007   1.07633 0.00007   1.07598 0.00007   1.07575 0.00007   1.07537 0.00007   1.07513 0.00007   1.07485 0.00007   1.07469 0.00007   1.07436 0.00007   1.07413 0.00007   1.07393 0.00007   1.07379 0.00007   1.07343 0.00007   1.07317 0.00007   1.07294 0.00007   1.07270 0.00007   1.07259 0.00007   1.07231 0.00007   1.07218 0.00007   1.07196 0.00007   1.07160 0.00007   1.07138 0.00007   1.07116 0.00007   1.07095 0.00007   1.07094 0.00007   1.07070 0.00007   1.07057 0.00007   1.07046 0.00007   1.07026 0.00007   1.06999 0.00007   1.06992 0.00007   1.06969 0.00007   1.06958 0.00007   1.06919 0.00007   1.06907 0.00007   1.06883 0.00006   1.06863 0.00007   1.06855 0.00007   1.06826 0.00007   1.06801 0.00007   1.06780 0.00007   1.06776 0.00007   1.06728 0.00007   1.06722 0.00007
 1.00     0.70446 0.00011   0.70242 0.00011   0.70076 0.00012   0.69897 0.00011   0.69719 0.00012   0.69556 0.00012   0.69383 0.00011   0.69194 0.00012   0.69015 0.00011   0.68826 0.00012   0.68651 0.00012   0.68500 0.00012   0.68325 0.00012   0.68155 0.00012   0.68012 0.00012   0.67853 0.00011   0.67694 0.00012   0.67555 0.00011   0.67409 0.00011   0.67256 0.00011   0.67083 0.00011   0.66939 0.00011   0.66818 0.00011   0.66660 0.00011   0.66524 0.00011   0.66416 0.00011   0.66281 0.00011   0.66148 0.00011   0.66022 0.00012   0.65879 0.00011   0.65704 0.00011   0.65575 0.00012   0.65485 0.00012   0.65375 0.00011   0.65240 0.00012   0.65116 0.00012   0.65013 0.00012   0.64870 0.00012   0.64746 0.00012   0.64628 0.00011   0.64517 0.00011   0.64396 0.00012   0.64280 0.00012   0.64185 0.00012   0.64056 0.00011   0.63945 0.00012   0.63853 0.00012   0.63750 0.00011   0.63647 0.00012   0.63552 0.00011   0.63478 0.00011   0.63401 0.00012   0.63349 0.00012   0.63339 0.00011   0.63333 0.00012   0.63256 0.00012   0.63104 0.00011   0.62990 0.00011   0.62862 0.00011   0.62723 0.00011   0.62625 0.00011   0.62536 0.00011   0.62417 0.00011   0.62317 0.00011   0.62252 0.00011   0.62150 0.00012   0.62083 0.00012   0.61969 0.00012   0.61898 0.00011   0.61816 0.00011
 2.00     0.58708 0.00011   0.58548 0.00012   0.58340 0.00012   0.58184 0.00012   0.58001 0.00012   0.57854 0.00012   0.57685 0.00012   0.57521 0.00012   0.57352 0.00011   0.57197 0.00012   0.57016 0.00011   0.56831 0.00011   0.56690 0.00012   0.56533 0.00012   0.56378 0.00013   0.56227 0.00012   0.56094 0.00012   0.55919 0.00011   0.55795 0.00012   0.55653 0.00012   0.55486 0.00012   0.55371 0.00013   0.55223 0.00012   0.55058 0.00012   0.54948 0.00012   0.54811 0.00012   0.54690 0.00011   0.54543 0.00012   0.54446 0.00011   0.54310 0.00011   0.54146 0.00011   0.54004 0.00011   0.53965 0.00011   0.53802 0.00012   0.53702 0.00011   0.53558 0.00012   0.53446 0.00012   0.53316 0.00012   0.53215 0.00012   0.53070 0.00012   0.52985 0.00013   0.52856 0.00013   0.52763 0.00012   0.52641 0.00013   0.52527 0.00012   0.52417 0.00012   0.52341 0.00012   0.52207 0.00012   0.52110 0.00013   0.52008 0.00012   0.51931 0.00012   0.51867 0.00012   0.51802 0.00012   0.51765 0.00012   0.51747 0.00012   0.51690 0.00012   0.51583 0.00012   0.51442 0.00012   0.51331 0.00011   0.51213 0.00012   0.51085 0.00012   0.50975 0.00012   0.50890 0.00011   0.50763 0.00012   0.50704 0.00012   0.50595 0.00012   0.50521 0.00012   0.50423 0.00012   0.50343 0.00012   0.50253 0.00012
10.00     0.34397 0.00009   0.34312 0.00009   0.34237 0.00009   0.34148 0.00009   0.34061 0.00009   0.33972 0.00009   0.33895 0.00009   0.33826 0.00009   0.33742 0.00009   0.33648 0.00009   0.33565 0.00009   0.33514 0.00010   0.33440 0.00009   0.33374 0.00009   0.33308 0.00009   0.33201 0.00009   0.33146 0.00009   0.33078 0.00009   0.33003 0.00009   0.32933 0.00009   0.32862 0.00009   0.32802 0.00009   0.32757 0.00009   0.32694 0.00009   0.32609 0.00009   0.32567 0.00009   0.32477 0.00009   0.32423 0.00009   0.32362 0.00009   0.32292 0.00009   0.32222 0.00009   0.32173 0.00009   0.32160 0.00009   0.32096 0.00009   0.32031 0.00009   0.31966 0.00009   0.31898 0.00008   0.31841 0.00009   0.31777 0.00009   0.31742 0.00009   0.31669 0.00009   0.31618 0.00009   0.31558 0.00009   0.31497 0.00009   0.31472 0.00009   0.31397 0.00009   0.31361 0.00008   0.31302 0.00009   0.31263 0.00008   0.31199 0.00009   0.31183 0.00009   0.31164 0.00009   0.31117 0.00008   0.31108 0.00009   0.31090 0.00008   0.31061 0.00009   0.31012 0.00009   0.30957 0.00009   0.30889 0.00008   0.30817 0.00009   0.30774 0.00009   0.30727 0.00008   0.30674 0.00009   0.30626 0.00009   0.30576 0.00009   0.30535 0.00008   0.30499 0.00008   0.30427 0.00009   0.30403 0.00009   0.30360 0.00009
