 0.00     1.08539 0.00007   1.08502 0.00007   1.08482 0.00007   1.08448 0.00007   1.08405 0.00007   1.08379 0.00007   1.08339 0.00007   1.08298 0.00007   1.08262 0.00007   1.08236 0.00007   1.08190 0.00007   1.08164 0.00007   1.08117 0.00007   1.08087 0.00007   1.08054 0.00006   1.08018 0.00006   1.07975 0.00007   1.07949 0.00007   1.07904 0.00007   1.07888 0.00007   1.07830 0.00007   1.07814 0.00007   1.07778 0.00007   1.07762 0.00007   1.07717 0.00007   1.07691 0.00007   1.07661 0.00007   1.07626 0.00007   1.07605 0.00007   1.07570 0.00007   1.07530 0.00007   1.07518 0.00007   1.07493 0.00007   1.07468 0.00007   1.07441 0.00007   1.07411 0.00007   1.07380 0.00007   1.07359 0.00007   1.07348 0.00007   1.07313 0.00007   1.07285 0.00007   1.07286 0.00007   1.07256 0.00007   1.07236 0.00007   1.07202 0.00007   1.07189 0.00007   1.07173 0.00007   1.07151 0.00007   1.07127 0.00007   1.07112 0.00007   1.07094 0.00007   1.07076 0.00007   1.07050 0.00007   1.07038 0.00007   1.07036 0.00007   1.06997 0.00007   1.06979 0.00007   1.06966 0.00007   1.06927 0.00007   1.06926 0.00007   1.06904 0.00007   1.06891 0.00007   1.06865 0.00007   1.06837 0.00007   1.06820 0.00007   1.06806 0.00007   1.06794 0.00007   1.06763 0.00007   1.06738 0.00007   1.06717 0.00007
 1.00     0.70461 0.00011   0.70249 0.00011   0.70061 0.00011   0.69897 0.00011   0.69740 0.00011   0.69534 0.00010   0.69380 0.00011   0.69188 0.00011   0.69024 0.00011   0.68833 0.00011   0.68654 0.00011   0.68493 0.00012   0.68337 0.00011   0.68177 0.00012   0.68004 0.00012   0.67881 0.00012   0.67700 0.00012   0.67556 0.00011   0.67411 0.00011   0.67258 0.00011   0.67116 0.00011   0.66940 0.00011   0.66788 0.00011   0.66669 0.00011   0.66536 0.00011   0.66398 0.00011   0.66269 0.00011   0.66146 0.00012   0.66004 0.00011   0.65848 0.00012   0.65715 0.00012   0.65558 0.00012   0.65487 0.00012   0.65355 0.00012   0.65231 0.00011   0.65104 0.00011   0.64999 0.00011   0.64880 0.00011   0.64747 0.00011   0.64665 0.00011   0.64511 0.00011   0.64413 0.00012   0.64292 0.00012   0.64169 0.00011   0.64062 0.00012   0.63938 0.00012   0.63878 0.00011   0.63753 0.00011   0.63651 0.00011   0.63553 0.00011   0.63466 0.00011   0.63420 0.00011   0.63374 0.00011   0.63313 0.00011   0.63311 0.00011   0.63258 0.00012   0.63132 0.00011   0.62975 0.00011   0.62850 0.00012   0.62754 0.00011   0.62636 0.00011   0.62523 0.00011   0.62423 0.00011   0.62336 0.00011   0.62258 0.00011   0.62175 0.00012   0.62079 0.00011   0.61962 0.00011   0.61902 0.00011   0.61820 0.00012
 2.00     0.58705 0.00011   0.58513 0.00012   0.58358 0.00012   0.58209 0.00012   0.58003 0.00012   0.57846 0.00012   0.57681 0.00012   0.57524 0.00013   0.57336 0.00012   0.57180 0.00012   0.57008 0.00012   0.56860 0.00012   0.56703 0.00012   0.56533 0.00012   0.56386 0.00012   0.56221 0.00012   0.56093 0.00012   0.55939 0.00012   0.55800 0.00013   0.55637 0.00012   0.55517 0.00012   0.55361 0.00012   0.55222 0.00012   0.55083 0.00012   0.54958 0.00012   0.54819 0.00012   0.54649 0.00011   0.54553 0.00012   0.54421 0.00012   0.54284 0.00011   0.54119 0.00012   0.54012 0.00011   0.53952 0.00012   0.53821 0.00012   0.53683 0.00012   0.53575 0.00012   0.53464 0.00012   0.53324 0.00012   0.53203 0.00012   0.53081 0.00012   0.52970 0.00012   0.52873 0.00013   0.52745 0.00012   0.52636 0.00012   0.52508 0.00012   0.52421 0.00013   0.52304 0.00012   0.52194 0.00012   0.52102 0.00012   0.51997 0.00011   0.51913 0.00013   0.51850 0.00011   0.51811 0.00012   0.51788 0.00012   0.51736 0.00012   0.51702 0.00012   0.51563 0.00012   0.51444 0.00012   0.51311 0.00012   0.51173 0.00011   0.51058 0.00012   0.50977 0.00012   0.50879 0.00012   0.50788 0.00012   0.50685 0.00012   0.50569 0.00012   0.50488 0.00012   0.50416 0.00013   0.50349 0.00012   0.50283 0.00013
10.00     0.34414 0.00009   0.34300 0.00009   0.34198 0.00009   0.34156 0.00009   0.34052 0.00009   0.33972 0.00009   0.33888 0.00009   0.33820 0.00009   0.33726 0.00009   0.33655 0.00008   0.33590 0.00008   0.33497 0.00010   0.33422 0.00009   0.33346 0.00009   0.33285 0.00009   0.33199 0.00009   0.33144 0.00009   0.33067 0.00009   0.32997 0.00009   0.32938 0.00009   0.32884 0.00009   0.32798 0.00009   0.32750 0.00009   0.32677 0.00009   0.32615 0.00009   0.32538 0.00009   0.32490 0.00009   0.32433 0.00009   0.32362 0.00009   0.32292 0.00009   0.32229 0.00009   0.32187 0.00009   0.32152 0.00009   0.32083 0.00009   0.32014 0.00009   0.31970 0.00009   0.31920 0.00009   0.31846 0.00009   0.31792 0.00009   0.31733 0.00009   0.31683 0.00009   0.31633 0.00009   0.31576 0.00009   0.31500 0.00009   0.31461 0.00008   0.31402 0.00008   0.31355 0.00008   0.31298 0.00009   0.31255 0.00009   0.31215 0.00009   0.31180 0.00009   0.31161 0.00008   0.31132 0.00008   0.31115 0.00008   0.31097 0.00009   0.31074 0.00009   0.31016 0.00008   0.30954 0.00009   0.30883 0.00009   0.30817 0.00009   0.30769 0.00008   0.30717 0.00009   0.30663 0.00009   0.30641 0.00008   0.30573 0.00008   0.30530 0.00008   0.30484 0.00009   0.30447 0.00009   0.30416 0.00008   0.30371 0.00009
