# keff and ITC [pcm/K] as a function of fuel salt graphite instrusion %
# FSGI[%]   keff  sigma(k)    ITC    sigma(ITC)    eta     sig(eta)    f     sig(f)       p     sig(p)    epsilon  sig(eps)
    0.0  1.085390 0.000071   -2.595744 0.004074  1.312520 0.000220  0.897773 0.000075  0.809979 0.000096  1.136910 0.000120
    1.0  0.704615 0.000113  -12.248333 0.006634  1.243880 0.000270  1.000000 0.000000  0.472243 0.000210  1.199230 0.000160
    2.0  0.587052 0.000112  -12.024406 0.007086  1.260680 0.000330  1.000000 0.000000  0.364486 0.000250  1.277710 0.000220
   10.0  0.344136 0.000093   -5.669052 0.005194  1.266270 0.000620  1.000000 0.000000  0.098274 0.000600  2.768250 0.000700
